sku;Titulo;image;media_gallery;color;small_image;thumbnail
CMCMG00080;Camisa com manga Dimmu Borgir;;;;;
G_CM_DIMMU_BORGIR_PENTAGRAMA;Camisa com manga Dimmu Borgir Pentagrama;Dimmu borgir.jpg;;preta;Dimmu borgir.jpg;Dimmu borgir.jpg
G_CM_DIO_HOLY_DIVER;Camisa com manga Dio Holy Diver;;;;;
G_CM_DISTURBED;Camisa com manga Disturbed;disturbed.jpg;disturbed costas.jpg::Costas;preta;disturbed.jpg;disturbed.jpg
G_CM_DOORS_AZUL;Camisa com manga Doors Azul;;;;;
CMCMG00175;Camisa com manga Doors Branca Morrison;;;;;
CMCMM00191;Camisa com manga Doors Morrison Branca;;;;;
CMCMGG00127;Camisa com manga Dorrs Morrison Branca;;;;;
G_CM_DREAM_THEATER_AWAKEN;Camisa com manga Dream Theater Awaken;Dream theater awaken.jpg;Dream theater awaken costas.jpg::Costas;preta;Dream theater awaken.jpg;Dream theater awaken.jpg
G_CM_DREAM_THEATER_BLACK_CLOUDS;Camisa com manga Dream Theater Black Clouds;;;;;
G_CM_DREAM_THEATER_METROPOLIS;Camisa com manga Dream Theater Metropolis;Dream theater.jpg;;preta;Dream theater.jpg;Dream theater.jpg
G_CM_DRI_AZUL;Camisa com manga Dri Azul;dri cross.jpg;dri cross costas.jpg::Costas;preta;dri cross.jpg;dri cross.jpg
G_CM_DRI_BRANCA;Camisa com manga Dri Branca;;;;;
CMCMP00187;Camisa com manga Eddie Comendo;;;;;
CMCMM00119;Camisa com manga Engeneiros Azul;;;;;
G_CM_ENGENHEIROS_AZUL;Camisa com manga Engenheiros Azul;Engenheiros azul.jpg;;azul;Engenheiros azul.jpg;Engenheiros azul.jpg
CMBLG00061;Camisa Baby Look Evanescence Banda Antiga;;;;;
CMBLG00066;Camisa Baby Look Evanescence Banda Nova;;;;;
G_CM_EVANESCENCE_BANDA_NOVA_MASTER;Camisa com manga Evanescence Banda Nova Master;;;;;
